Indicator,Sex,Length_or_Height_cm,SD_neg3,SD_neg2,SD_neg1,Median,SD_pos1,SD_pos2,SD_pos3
Weight-for-length,Boy,61.5,5.0,5.4,5.9,6.4,7.0,7.6,8.3
Weight-for-length,Boy,62.0,5.1,5.6,6.0,6.5,7.1,7.7,8.5
Weight-for-length,Boy,62.5,5.2,5.7,6.1,6.7,7.2,7.9,8.6
Weight-for-length,Boy,63.0,5.3,5.8,6.2,6.8,7.4,8.0,8.8
Weight-for-length,Boy,63.5,5.4,5.9,6.4,6.9,7.5,8.2,8.9
Weight-for-length,Boy,64.0,5.5,6.0,6.5,7.0,7.6,8.3,9.1
Weight-for-length,Boy,64.5,5.6,6.1,6.6,7.1,7.8,8.5,9.3
Weight-for-length,Boy,65.0,5.7,6.2,6.7,7.3,7.9,8.6,9.4
Weight-for-length,Boy,65.5,5.8,6.3,6.8,7.4,8.0,8.7,9.6
Weight-for-length,Boy,66.0,5.9,6.4,6.9,7.5,8.2,8.9,9.7
Weight-for-length,Boy,66.5,6.0,6.5,7.0,7.6,8.3,9.0,9.9
Weight-for-length,Boy,67.0,6.1,6.6,7.1,7.7,8.4,9.2,10.0
Weight-for-length,Boy,67.5,6.2,6.7,7.2,7.9,8.5,9.3,10.2
Weight-for-length,Boy,68.0,6.3,6.8,7.3,8.0,8.7,9.4,10.3
Weight-for-length,Boy,68.5,6.4,6.9,7.5,8.1,8.8,9.6,10.5
Weight-for-length,Boy,69.0,6.5,7.0,7.6,8.2,8.9,9.7,10.6
Weight-for-length,Boy,69.5,6.6,7.1,7.7,8.3,9.0,9.8,10.8
Weight-for-length,Boy,70.0,6.6,7.2,7.8,8.4,9.2,10.0,10.9
Weight-for-length,Boy,70.5,6.7,7.3,7.9,8.5,9.3,10.1,11.1
Weight-for-length,Boy,71.0,6.8,7.4,8.0,8.6,9.4,10.2,11.2
Weight-for-length,Boy,71.5,6.9,7.5,8.1,8.8,9.5,10.4,11.3
Weight-for-length,Boy,72.0,7.0,7.6,8.2,8.9,9.6,10.5,11.5
Weight-for-length,Boy,72.5,7.1,7.6,8.3,9.0,9.8,10.6,11.6
Weight-for-length,Boy,73.0,7.2,7.7,8.4,9.1,9.9,10.8,11.8
Weight-for-length,Boy,73.5,7.2,7.8,8.5,9.2,10.0,10.9,11.9
Weight-for-length,Boy,74.0,7.3,7.9,8.6,9.3,10.1,11.0,12.1
Weight-for-length,Boy,74.5,7.4,8.0,8.7,9.4,10.2,11.2,12.2
Weight-for-length,Boy,75.0,7.5,8.1,8.8,9.5,10.3,11.3,12.3
Weight-for-length,Boy,75.5,7.6,8.2,8.8,9.6,10.4,11.4,12.5
Weight-for-length,Boy,76.0,7.6,8.3,8.9,9.7,10.6,11.5,12.6
Weight-for-length,Boy,76.5,7.7,8.3,9.0,9.8,10.7,11.6,12.7
Weight-for-length,Boy,77.0,7.8,8.4,9.1,9.9,10.8,11.7,12.8
Weight-for-length,Boy,77.5,7.9,8.5,9.2,10.0,10.9,11.9,13.0
Weight-for-length,Boy,78.0,7.9,8.6,9.3,10.1,11.0,12.0,13.1
Weight-for-length,Boy,78.5,8.0,8.7,9.4,10.2,11.1,12.1,13.2
Weight-for-length,Boy,79.0,8.1,8.7,9.5,10.3,11.2,12.2,13.3
Weight-for-length,Boy,79.5,8.2,8.8,9.5,10.4,11.3,12.3,13.4
Weight-for-length,Boy,80.0,8.2,8.9,9.6,10.4,11.4,12.4,13.6
Weight-for-length,Boy,80.5,8.3,9.0,9.7,10.5,11.5,12.5,13.7
Weight-for-length,Boy,81.0,8.4,9.1,9.8,10.6,11.6,12.6,13.8
Weight-for-length,Boy,81.5,8.5,9.1,9.9,10.7,11.7,12.7,13.9
Weight-for-length,Boy,82.0,8.5,9.2,10.0,10.8,11.8,12.8,14.0
Weight-for-length,Boy,82.5,8.6,9.3,10.1,10.9,11.9,13.0,14.2
Weight-for-length,Boy,83.0,8.7,9.4,10.2,11.0,12.0,13.1,14.3
Weight-for-length,Boy,83.5,8.8,9.5,10.3,11.2,12.1,13.2,14.4
Weight-for-length,Boy,84.0,8.9,9.6,10.4,11.3,12.2,13.3,14.6
Weight-for-length,Boy,84.5,9.0,9.7,10.5,11.4,12.4,13.5,14.7
Weight-for-length,Boy,85.0,9.1,9.8,10.6,11.5,12.5,13.6,14.9
Weight-for-length,Boy,85.5,9.2,9.9,10.7,11.6,12.6,13.7,15.0
Weight-for-length,Boy,86.0,9.3,10.0,10.8,11.7,12.8,13.9,15.2
Weight-for-length,Boy,86.5,9.4,10.1,11.0,11.9,12.9,14.0,15.3
Weight-for-length,Boy,87.0,9.5,10.2,11.1,12.0,13.0,14.2,15.5
Weight-for-length,Boy,87.5,9.6,10.4,11.2,12.1,13.2,14.3,15.6
Weight-for-length,Boy,88.0,9.7,10.5,11.3,12.2,13.3,14.5,15.8
Weight-for-length,Boy,88.5,9.8,10.6,11.4,12.4,13.4,14.6,15.9
Weight-for-length,Boy,89.0,9.9,10.7,11.5,12.5,13.5,14.7,16.1
Weight-for-length,Boy,89.5,10.0,10.8,11.6,12.6,13.7,14.9,16.2
Weight-for-length,Boy,90.0,10.1,10.9,11.8,12.7,13.8,15.0,16.4
Weight-for-length,Boy,90.5,10.2,11.0,11.9,12.8,13.9,15.1,16.5
Weight-for-length,Boy,91.0,10.3,11.1,12.0,13.0,14.1,15.3,16.7
Weight-for-length,Boy,91.5,10.4,11.2,12.1,13.1,14.2,15.4,16.8
Weight-for-length,Boy,92.0,10.5,11.3,12.2,13.2,14.3,15.6,17.0
Weight-for-length,Boy,92.5,10.6,11.4,12.3,13.3,14.4,15.7,17.1
Weight-for-length,Boy,93.0,10.7,11.5,12.4,13.4,14.6,15.8,17.3
Weight-for-length,Boy,93.5,10.7,11.6,12.5,13.5,14.7,16.0,17.4
Weight-for-length,Boy,94.0,10.8,11.7,12.6,13.7,14.8,16.1,17.6
Weight-for-length,Boy,94.5,10.9,11.8,12.7,13.8,14.9,16.3,17.7
Weight-for-length,Boy,95.0,11.0,11.9,12.8,13.9,15.1,16.4,17.9
Weight-for-length,Boy,95.5,11.1,12.0,12.9,14.0,15.2,16.5,18.0
Weight-for-length,Boy,96.0,11.2,12.1,13.1,14.1,15.3,16.7,18.2
Weight-for-length,Boy,96.5,11.3,12.2,13.2,14.3,15.5,16.8,18.4
Weight-for-length,Boy,97.0,11.4,12.3,13.3,14.4,15.6,17.0,18.5
Weight-for-length,Boy,97.5,11.5,12.4,13.4,14.5,15.7,17.1,18.7
Weight-for-length,Boy,98.0,11.6,12.5,13.5,14.6,15.9,17.3,18.9
Weight-for-length,Boy,98.5,11.7,12.6,13.6,14.8,16.0,17.5,19.1
Weight-for-length,Boy,99.0,11.8,12.7,13.7,14.9,16.2,17.6,19.2
Weight-for-length,Boy,99.5,11.9,12.8,13.9,15.0,16.3,17.8,19.4
Weight-for-length,Boy,100.0,12.0,12.9,14.0,15.2,16.5,18.0,19.6
Weight-for-length,Boy,100.5,12.1,13.0,14.1,15.3,16.6,18.1,19.8
Weight-for-length,Boy,101.0,12.2,13.2,14.2,15.4,16.8,18.3,20.0
Weight-for-length,Boy,101.5,12.3,13.3,14.4,15.6,16.9,18.5,20.2
Weight-for-length,Boy,102.0,12.4,13.4,14.5,15.7,17.1,18.7,20.4
Weight-for-length,Boy,102.5,12.5,13.5,14.6,15.9,17.3,18.8,20.6
Weight-for-length,Boy,103.0,12.6,13.6,14.8,16.0,17.4,19.0,20.8
Weight-for-length,Boy,103.5,12.7,13.7,14.9,16.2,17.6,19.2,21.0
Weight-for-length,Boy,104.0,12.8,13.9,15.0,16.3,17.8,19.4,21.2
Weight-for-length,Boy,104.5,12.9,14.0,15.2,16.5,17.9,19.6,21.5
Weight-for-length,Boy,105.0,13.0,14.1,15.3,16.6,18.1,19.8,21.7
Weight-for-length,Boy,105.5,13.2,14.2,15.4,16.8,18.3,20.0,21.9
Weight-for-length,Boy,106.0,13.3,14.4,15.6,16.9,18.5,20.2,22.1
Weight-for-length,Boy,106.5,13.4,14.5,15.7,17.1,18.6,20.4,22.4
Weight-for-length,Boy,107.0,13.5,14.6,15.9,17.3,18.8,20.6,22.6
Weight-for-length,Boy,107.5,13.6,14.7,16.0,17.4,19.0,20.8,22.8
Weight-for-length,Boy,108.0,13.7,14.9,16.2,17.6,19.2,21.0,23.1
Weight-for-length,Boy,108.5,13.8,15.0,16.3,17.8,19.4,21.2,23.3
Weight-for-length,Boy,109.0,14.0,15.1,16.5,17.9,19.6,21.4,23.6
Weight-for-length,Boy,109.5,14.1,15.3,16.6,18.1,19.8,21.7,23.8
Weight-for-length,Boy,110.0,14.2,15.4,16.8,18.3,20.0,21.9,24.1
Weight-for-length,Girl,45.0,1.9,2.1,2.3,2.5,2.7,3.0,3.3
Weight-for-length,Girl,45.5,2.0,2.1,2.3,2.5,2.8,3.1,3.4
Weight-for-length,Girl,46.0,2.0,2.2,2.4,2.6,2.9,3.2,3.5
Weight-for-length,Girl,46.5,2.1,2.3,2.5,2.7,3.0,3.3,3.6
Weight-for-length,Girl,47.0,2.2,2.4,2.6,2.8,3.1,3.4,3.7
Weight-for-length,Girl,47.5,2.2,2.4,2.6,2.9,3.2,3.5,3.8
Weight-for-length,Girl,48.0,2.3,2.5,2.7,3.0,3.3,3.6,4.0
Weight-for-length,Girl,48.5,2.4,2.6,2.8,3.1,3.4,3.7,4.1
Weight-for-length,Girl,49.0,2.4,2.6,2.9,3.2,3.5,3.8,4.2
Weight-for-length,Girl,49.5,2.5,2.7,3.0,3.3,3.6,3.9,4.3
Weight-for-length,Girl,50.0,2.6,2.8,3.1,3.4,3.7,4.0,4.5
Weight-for-length,Girl,50.5,2.7,2.9,3.2,3.5,3.8,4.2,4.6
Weight-for-length,Girl,51.0,2.8,3.0,3.3,3.6,3.9,4.3,4.8
Weight-for-length,Girl,51.5,2.8,3.1,3.4,3.7,4.0,4.4,4.9
Weight-for-length,Girl,52.0,2.9,3.2,3.5,3.8,4.2,4.6,5.1
Weight-for-length,Girl,52.5,3.0,3.3,3.6,3.9,4.3,4.7,5.2
Weight-for-length,Girl,53.0,3.1,3.4,3.7,4.0,4.4,4.9,5.4
Weight-for-length,Girl,53.5,3.2,3.5,3.8,4.2,4.6,5.0,5.5
Weight-for-length,Girl,54.0,3.3,3.6,3.9,4.3,4.7,5.2,5.7
Weight-for-length,Girl,54.5,3.4,3.7,4.0,4.4,4.8,5.3,5.9
Weight-for-length,Girl,55.0,3.5,3.8,4.2,4.5,5.0,5.5,6.1
Weight-for-length,Girl,55.5,3.6,3.9,4.3,4.7,5.1,5.7,6.3
Weight-for-length,Girl,56.0,3.7,4.0,4.4,4.8,5.3,5.8,6.4
Weight-for-length,Girl,56.5,3.8,4.1,4.5,5.0,5.4,6.0,6.6
Weight-for-length,Girl,57.0,3.9,4.3,4.6,5.1,5.6,6.1,6.8
Weight-for-length,Girl,57.5,4.0,4.4,4.8,5.2,5.7,6.3,7.0
Weight-for-length,Girl,58.0,4.1,4.5,4.9,5.4,5.9,6.5,7.1
Weight-for-length,Girl,58.5,4.2,4.6,5.0,5.5,6.0,6.6,7.3
Weight-for-length,Girl,59.0,4.3,4.7,5.1,5.6,6.2,6.8,7.5
Weight-for-length,Girl,59.5,4.4,4.8,5.3,5.7,6.3,6.9,7.7
Weight-for-length,Girl,60.0,4.5,4.9,5.4,5.9,6.4,7.1,7.8
Weight-for-length,Girl,60.5,4.6,5.0,5.5,6.0,6.6,7.3,8.0
Weight-for-length,Girl,61.0,4.7,5.1,5.6,6.1,6.7,7.4,8.2
Weight-for-length,Girl,61.5,4.8,5.2,5.7,6.3,6.9,7.6,8.4
Weight-for-length,Girl,62.0,4.9,5.3,5.8,6.4,7.0,7.7,8.5
Weight-for-length,Girl,62.5,5.0,5.4,5.9,6.5,7.1,7.8,8.7
Weight-for-length,Girl,63.0,5.1,5.5,6.0,6.6,7.3,8.0,8.8
Weight-for-length,Girl,63.5,5.2,5.6,6.2,6.7,7.4,8.1,9.0
Weight-for-length,Girl,64.0,5.3,5.7,6.3,6.9,7.5,8.3,9.1
Weight-for-length,Girl,64.5,5.4,5.8,6.4,7.0,7.6,8.4,9.3
Weight-for-length,Girl,65.0,5.5,5.9,6.5,7.1,7.8,8.6,9.5
Weight-for-length,Girl,65.5,5.5,6.0,6.6,7.2,7.9,8.7,9.6
Weight-for-length,Girl,66.0,5.6,6.1,6.7,7.3,8.0,8.8,9.8
Weight-for-length,Girl,66.5,5.7,6.2,6.8,7.4,8.1,9.0,9.9
Weight-for-length,Girl,67.0,5.8,6.3,6.9,7.5,8.3,9.1,10.0
Weight-for-length,Girl,67.5,5.9,6.4,7.0,7.6,8.4,9.2,10.2
Weight-for-length,Girl,68.0,6.0,6.5,7.1,7.7,8.5,9.4,10.3
Weight-for-length,Girl,68.5,6.1,6.6,7.2,7.9,8.6,9.5,10.5
Weight-for-length,Girl,69.0,6.1,6.7,7.3,8.0,8.7,9.6,10.6
Weight-for-length,Girl,69.5,6.2,6.8,7.4,8.1,8.8,9.7,10.7
Weight-for-length,Girl,70.0,6.3,6.9,7.5,8.2,9.0,9.9,10.9
Weight-for-length,Girl,70.5,6.4,6.9,7.6,8.3,9.1,10.0,11.0
Weight-for-length,Girl,71.0,6.5,7.0,7.7,8.4,9.2,10.1,11.1
Weight-for-length,Girl,71.5,6.5,7.1,7.7,8.5,9.3,10.2,11.3
Weight-for-length,Girl,72.0,6.6,7.2,7.8,8.6,9.4,10.3,11.4
Weight-for-length,Girl,72.5,6.7,7.3,7.9,8.7,9.5,10.5,11.5
Weight-for-length,Girl,73.0,6.8,7.4,8.0,8.8,9.6,10.6,11.7
Weight-for-length,Girl,73.5,6.9,7.4,8.1,8.9,9.7,10.7,11.8
Weight-for-length,Girl,74.0,6.9,7.5,8.2,9.0,9.8,10.8,11.9
Weight-for-length,Girl,74.5,7.0,7.6,8.3,9.1,9.9,10.9,12.0
Weight-for-length,Girl,75.0,7.1,7.7,8.4,9.1,10.0,11.0,12.2
Weight-for-length,Girl,75.5,7.1,7.8,8.5,9.2,10.1,11.1,12.3
Weight-for-length,Girl,76.0,7.2,7.8,8.5,9.3,10.2,11.2,12.4
Weight-for-length,Girl,76.5,7.3,7.9,8.6,9.4,10.3,11.4,12.5
Weight-for-length,Girl,77.0,7.4,8.0,8.7,9.5,10.4,11.5,12.6
Weight-for-length,Girl,77.5,7.4,8.1,8.8,9.6,10.5,11.6,12.8
Weight-for-length,Girl,78.0,7.5,8.2,8.9,9.7,10.6,11.7,12.9
Weight-for-length,Girl,78.5,7.6,8.2,9.0,9.8,10.7,11.8,13.0
Weight-for-length,Girl,79.0,7.7,8.3,9.1,9.9,10.8,11.9,13.1
Weight-for-length,Girl,79.5,7.7,8.4,9.1,10.0,10.9,12.0,13.3
Weight-for-length,Girl,80.0,7.8,8.5,9.2,10.1,11.0,12.1,13.4
Weight-for-length,Girl,80.5,7.9,8.6,9.3,10.2,11.2,12.3,13.5
Weight-for-length,Girl,81.0,8.0,8.7,9.4,10.3,11.3,12.4,13.7
Weight-for-length,Girl,81.5,8.1,8.8,9.5,10.4,11.4,12.5,13.8
Weight-for-length,Girl,82.0,8.1,8.8,9.6,10.5,11.5,12.6,13.9
Weight-for-length,Girl,82.5,8.2,8.9,9.7,10.6,11.6,12.8,14.1
Weight-for-length,Girl,83.0,8.3,9.0,9.8,10.7,11.8,12.9,14.2
Weight-for-length,Girl,83.5,8.4,9.1,9.9,10.9,11.9,13.1,14.4
Weight-for-length,Girl,84.0,8.5,9.2,10.1,11.0,12.0,13.2,14.5
Weight-for-length,Girl,84.5,8.6,9.3,10.2,11.1,12.1,13.3,14.7
Weight-for-length,Girl,85.0,8.7,9.4,10.3,11.2,12.3,13.5,14.9
Weight-for-length,Girl,85.5,8.8,9.5,10.4,11.3,12.4,13.6,15.0
Weight-for-length,Girl,86.0,8.9,9.7,10.5,11.5,12.6,13.8,15.2
Weight-for-length,Girl,86.5,9.0,9.8,10.6,11.6,12.7,13.9,15.4
Weight-for-length,Girl,87.0,9.1,9.9,10.7,11.7,12.8,14.1,15.5
Weight-for-length,Girl,87.5,9.2,10.0,10.9,11.8,13.0,14.2,15.7
Weight-for-length,Girl,88.0,9.3,10.1,11.0,12.0,13.1,14.4,15.9
Weight-for-length,Girl,88.5,9.4,10.2,11.1,12.1,13.2,14.5,16.0
Weight-for-length,Girl,89.0,9.5,10.3,11.2,12.2,13.4,14.7,16.2
Weight-for-length,Girl,89.5,9.6,10.4,11.3,12.3,13.5,14.8,16.4
Weight-for-length,Girl,90.0,9.7,10.5,11.4,12.5,13.7,15.0,16.5
Weight-for-length,Girl,90.5,9.8,10.6,11.5,12.6,13.8,15.1,16.7
Weight-for-length,Girl,91.0,9.9,10.7,11.7,12.7,13.9,15.3,16.9
Weight-for-length,Girl,91.5,10.0,10.8,11.8,12.8,14.1,15.5,17.0
Weight-for-length,Girl,92.0,10.1,10.9,11.9,13.0,14.2,15.6,17.2
Weight-for-length,Girl,92.5,10.1,11.0,12.0,13.1,14.3,15.8,17.4
Weight-for-length,Girl,93.0,10.2,11.1,12.1,13.2,14.5,15.9,17.5
Weight-for-length,Girl,93.5,10.3,11.2,12.2,13.3,14.6,16.1,17.7
Weight-for-length,Girl,94.0,10.4,11.3,12.3,13.5,14.7,16.2,17.9
Weight-for-length,Girl,94.5,10.5,11.4,12.4,13.6,14.9,16.4,18.0
Weight-for-length,Girl,95.0,10.6,11.5,12.6,13.7,15.0,16.5,18.2
Weight-for-length,Girl,95.5,10.7,11.6,12.7,13.8,15.2,16.7,18.4
Weight-for-length,Girl,96.0,10.8,11.7,12.8,14.0,15.3,16.8,18.6
Weight-for-length,Girl,96.5,10.9,11.8,12.9,14.1,15.4,17.0,18.7
Weight-for-length,Girl,97.0,11.0,12.0,13.0,14.2,15.6,17.1,18.9
Weight-for-length,Girl,97.5,11.1,12.1,13.1,14.4,15.7,17.3,19.1
Weight-for-length,Girl,98.0,11.2,12.2,13.3,14.5,15.9,17.5,19.3
Weight-for-length,Girl,98.5,11.3,12.3,13.4,14.6,16.0,17.6,19.5
Weight-for-length,Girl,99.0,11.4,12.4,13.5,14.8,16.2,17.8,19.6
Weight-for-length,Girl,99.5,11.5,12.5,13.6,14.9,16.3,18.0,19.8
Weight-for-length,Girl,100.0,11.6,12.6,13.7,15.0,16.5,18.1,20.0
Weight-for-length,Girl,100.5,11.7,12.7,13.9,15.2,16.6,18.3,20.2
Weight-for-length,Girl,101.0,11.8,12.8,14.0,15.3,16.8,18.5,20.4
Weight-for-length,Girl,101.5,11.9,13.0,14.1,15.5,17.0,18.7,20.6
Weight-for-length,Girl,102.0,12.0,13.1,14.3,15.6,17.1,18.9,20.8
Weight-for-length,Girl,102.5,12.1,13.2,14.4,15.8,17.3,19.0,21.0
Weight-for-length,Girl,103.0,12.3,13.3,14.5,15.9,17.5,19.2,21.3
Weight-for-length,Girl,103.5,12.4,13.5,14.7,16.1,17.6,19.4,21.5
Weight-for-length,Girl,104.0,12.5,13.6,14.8,16.2,17.8,19.6,21.7
Weight-for-length,Girl,104.5,12.6,13.7,15.0,16.4,18.0,19.8,21.9
Weight-for-length,Girl,105.0,12.7,13.8,15.1,16.5,18.2,20.0,22.2
Weight-for-length,Girl,105.5,12.8,14.0,15.3,16.7,18.4,20.2,22.4
Weight-for-length,Girl,106.0,13.0,14.1,15.4,16.9,18.5,20.5,22.6
Weight-for-length,Girl,106.5,13.1,14.3,15.6,17.1,18.7,20.7,22.9
Weight-for-length,Girl,107.0,13.2,14.4,15.7,17.2,18.9,20.9,23.1
Weight-for-length,Girl,107.5,13.3,14.5,15.9,17.4,19.1,21.1,23.4
Weight-for-length,Girl,108.0,13.5,14.7,16.0,17.6,19.3,21.3,23.6
Weight-for-length,Girl,108.5,13.6,14.8,16.2,17.8,19.5,21.6,23.9
Weight-for-length,Girl,109.0,13.7,15.0,16.4,18.0,19.7,21.8,24.2
Weight-for-length,Girl,109.5,13.9,15.1,16.5,18.1,20.0,22.0,24.4
Weight-for-length,Girl,110.0,14.0,15.3,16.7,18.3,20.2,22.3,24.7
Weight-for-height,Boy,65.0,5.9,6.3,6.9,7.4,8.1,8.8,9.6
Weight-for-height,Boy,65.5,6.0,6.4,7.0,7.6,8.2,8.9,9.8
Weight-for-height,Boy,66.0,6.1,6.5,7.1,7.7,8.3,9.1,9.9
Weight-for-height,Boy,66.5,6.1,6.6,7.2,7.8,8.5,9.2,10.1
Weight-for-height,Boy,67.0,6.2,6.7,7.3,7.9,8.6,9.4,10.2
Weight-for-height,Boy,67.5,6.3,6.8,7.4,8.0,8.7,9.5,10.4
Weight-for-height,Boy,68.0,6.4,6.9,7.5,8.1,8.8,9.6,10.5
Weight-for-height,Boy,68.5,6.5,7.0,7.6,8.2,9.0,9.8,10.7
Weight-for-height,Boy,69.0,6.6,7.1,7.7,8.4,9.1,9.9,10.8
Weight-for-height,Boy,69.5,6.7,7.2,7.8,8.5,9.2,10.0,11.0
Weight-for-height,Boy,70.0,6.8,7.3,7.9,8.6,9.3,10.2,11.1
Weight-for-height,Boy,70.5,6.9,7.4,8.0,8.7,9.5,10.3,11.3
Weight-for-height,Boy,71.0,6.9,7.5,8.1,8.8,9.6,10.4,11.4
Weight-for-height,Boy,71.5,7.0,7.6,8.2,8.9,9.7,10.6,11.6
Weight-for-height,Boy,72.0,7.1,7.7,8.3,9.0,9.8,10.7,11.7
Weight-for-height,Boy,72.5,7.2,7.8,8.4,9.1,9.9,10.8,11.8
Weight-for-height,Boy,73.0,7.3,7.9,8.5,9.2,10.0,11.0,12.0
Weight-for-height,Boy,73.5,7.4,7.9,8.6,9.3,10.2,11.1,12.1
Weight-for-height,Boy,74.0,7.4,8.0,8.7,9.4,10.3,11.2,12.2
Weight-for-height,Boy,74.5,7.5,8.1,8.8,9.5,10.4,11.3,12.4
Weight-for-height,Boy,75.0,7.6,8.2,8.9,9.6,10.5,11.4,12.5
Weight-for-height,Boy,75.5,7.7,8.3,9.0,9.7,10.6,11.6,12.6
Weight-for-height,Boy,76.0,7.7,8.4,9.1,9.8,10.7,11.7,12.8
Weight-for-height,Boy,76.5,7.8,8.5,9.2,9.9,10.8,11.8,12.9
Weight-for-height,Boy,77.0,7.9,8.5,9.2,10.0,10.9,11.9,13.0
Weight-for-height,Boy,77.5,8.0,8.6,9.3,10.1,11.0,12.0,13.1
Weight-for-height,Boy,78.0,8.0,8.7,9.4,10.2,11.1,12.1,13.3
Weight-for-height,Boy,78.5,8.1,8.8,9.5,10.3,11.2,12.2,13.4
Weight-for-height,Boy,79.0,8.2,8.8,9.6,10.4,11.3,12.3,13.5
Weight-for-height,Boy,79.5,8.3,8.9,9.7,10.5,11.4,12.4,13.6
Weight-for-height,Boy,80.0,8.3,9.0,9.7,10.6,11.5,12.6,13.7
Weight-for-height,Boy,80.5,8.4,9.1,9.8,10.7,11.6,12.7,13.8
Weight-for-height,Boy,81.0,8.5,9.2,9.9,10.8,11.7,12.8,14.0
Weight-for-height,Boy,81.5,8.6,9.3,10.0,10.9,11.8,12.9,14.1
Weight-for-height,Boy,82.0,8.7,9.3,10.1,11.0,11.9,13.0,14.2
Weight-for-height,Boy,82.5,8.7,9.4,10.2,11.1,12.1,13.1,14.4
Weight-for-height,Boy,83.0,8.8,9.5,10.3,11.2,12.2,13.3,14.5
Weight-for-height,Boy,83.5,8.9,9.6,10.4,11.3,12.3,13.4,14.6
Weight-for-height,Boy,84.0,9.0,9.7,10.5,11.4,12.4,13.5,14.8
Weight-for-height,Boy,84.5,9.1,9.9,10.7,11.5,12.5,13.7,14.9
Weight-for-height,Boy,85.0,9.2,10.0,10.8,11.7,12.7,13.8,15.1
Weight-for-height,Boy,85.5,9.3,10.1,10.9,11.8,12.8,13.9,15.2
Weight-for-height,Boy,86.0,9.4,10.2,11.0,11.9,12.9,14.1,15.4
Weight-for-height,Boy,86.5,9.5,10.3,11.1,12.0,13.1,14.2,15.5
Weight-for-height,Boy,87.0,9.6,10.4,11.2,12.2,13.2,14.4,15.7
Weight-for-height,Boy,87.5,9.7,10.5,11.3,12.3,13.3,14.5,15.8
Weight-for-height,Boy,88.0,9.8,10.6,11.5,12.4,13.5,14.7,16.0
Weight-for-height,Boy,88.5,9.9,10.7,11.6,12.5,13.6,14.8,16.1
Weight-for-height,Boy,89.0,10.0,10.8,11.7,12.6,13.7,14.9,16.3
Weight-for-height,Boy,89.5,10.1,10.9,11.8,12.8,13.9,15.1,16.4
Weight-for-height,Boy,90.0,10.2,11.0,11.9,12.9,14.0,15.2,16.6
Weight-for-height,Boy,90.5,10.3,11.1,12.0,13.0,14.1,15.3,16.7
Weight-for-height,Boy,91.0,10.4,11.2,12.1,13.1,14.2,15.5,16.9
